Gene,Importance
AP1S2,0.000549089068825911
FGF21,0.000546968787515006
YDJC,0.000546968787515006
XLOC_002961,0.0005467936319000149
TRPV4,0.0005458783640601822
LOC100132724,0.0005456918302833442
XLOC_006304,0.0005436926160610373
PEX12,0.0005421195652173913
LOC100128531,0.0005420318450878724
FAM131A,0.0005388551506972561
CCDC162P,0.0005332960483844978
ACTR8,0.0005331157350741194
ISYNA1,0.0005312011763624668
RNF123,0.0005295295295295294
EGFLAM,0.0005289763931888544
STAC3,0.000527632165004968
TSPAN2,0.0005267558528428096
LOC100133130,0.0005246913580246915
NIPAL2,0.0005245682565789472
SCGB2A1,0.0005202730455532302
KCNJ2,0.0005190771960958294
MRPL30,0.0005185055453391766
ULK2,0.0005180952795553815
MYO9A,0.0005174152770306615
LOC283404,0.0005169381810335527
XLOC_005939,0.0005158109434425226
XLOC_007440,0.000515293552070188
LOC100289424,0.0005145734390386796
RASA3,0.0005145734390386796
XLOC_007917,0.0005132519616390584
CSPG5,0.000512824260138838
HAUS5,0.0005118577075098814
USP45,0.0005100634132892197
XLOC_007017,0.0005094745908699399
XLOC_l2_005457,0.0005093312352478365
XLOC_001507,0.0005088167990308254
RAB5A,0.0005087209302325581
LINC00230A,0.0005083822550384313
NLGN4Y,0.0005075462411325789
TRAF3IP1,0.0005070548489666136
TSHR,0.0005068871520239303
PCBP4,0.0005056759545923632
SNORA8,0.0005053011504624409
CEP290,0.0005047853694689821
XLOC_008895,0.000502152080344333
SIGMAR1,0.000500888000888001
ENSA,0.0005000000000000001
XLOC_004966,0.0004999134349030472
VCL,0.0004998004998004997
FLJ43826,0.0004995374653098985
XLOC_011790,0.0004995285062568493
XLOC_000527,0.0004994528315853968
LOC100506338,0.0004972336637601565
WBP5,0.0004970588235294116
EML3,0.0004962779156327545
LOC100129198,0.000496031746031746
XLOC_013763,0.000495716034271726
E2F6,0.0004954954954954956
LOC100652755,0.000494949494949495
C21orf54,0.0004946122593181416
MILR1,0.0004946122593181416
C2orf3,0.0004942810457516342
LOC647979,0.000493601423833982
MID2,0.000493599508615328
TSNAX,0.0004929396662387677
FUS,0.0004924655047204066
APBA3,0.0004921875
LOC100129104,0.000492063492063492
ATG4B,0.000492063492063492
POLR2J2,0.0004916811933520054
SRPX,0.0004910023219814241
MOSPD3,0.0004901960784313727
XLOC_009324,0.0004887484077935558
KLRC4,0.0004885235732009926
LOC100507367,0.0004884675907810773
P2RY13,0.00048489795918367333
LOC646999,0.00048441142191142205
ALDH3A1,0.0004833512352309344
NMB,0.0004826161946259985
C2orf27B,0.00048052435679770143
RABEPK,0.0004801200300075019
LOC100132966,0.0004798761609907122
XLOC_l2_010915,0.0004798761609907122
XLOC_009685,0.00047973531844499576
XLOC_l2_003293,0.000478598484848485
LOC100287598,0.00047836834410587884
XLOC_009429,0.0004778666666666666
VARS,0.0004771107456140351
C22orf36,0.00047697368421052635
LOC100507043,0.000476558190843905
SPRY2,0.00047638888888888877
LOC374890,0.0004742547425474255
XLOC_007556,0.0004722222222222222
CETP,0.00047173573228698125
TRPM3,0.00047089201080401555
MGC40069,0.00047088906372934705
PLEKHM2,0.0004708328237740002
LOC339529,0.0004706600892647406
RPS6KA5,0.00047058823529411755
ELF4,0.00046874999999999993
PPP2R2A,0.00046862889869044374
C1orf190,0.0004681497504464013
ECH1,0.0004681497504464013
MFSD6L,0.0004681179916646338
TOB1,0.0004672222222222223
LAD1,0.00046700232458746406
SGK494,0.0004658564814814815
XLOC_l2_001118,0.00046437346437346434
SCARNA22,0.00046304909560723506
NANOG,0.0004626682986536107
KIAA2013,0.0004619105735731047
CLDN20,0.0004614248800295313
MAX,0.00046120598777145275
XLOC_012978,0.00046107353363395316
XLOC_004746,0.0004604917552131629
THOC3,0.0004603741042921833
XLOC_012763,0.0004596289694328911
XLOC_006984,0.0004592241177703332
TNFRSF10B,0.00045737091191636655
XLOC_007943,0.00045680126325287616
XLOC_014226,0.0004565214215503153
XLOC_014139,0.00045629629629629644
LOC100289673,0.00045603428829235306
XLOC_007857,0.00045490242964713376
TUBA3D,0.000454015243097129
NOTCH1,0.0004535963712290301
XLOC_l2_007783,0.0004534657715020719
LOC100506855,0.00045269649815104346
FLJ41130,0.0004508184655243481
LOC400550,0.00045045045045045057
TDH,0.00044995021773596734
XLOC_l2_012168,0.000446402057152337
XLOC_004924,0.0004463308809658555
XLOC_013729,0.0004459459459459458
FLJ39739,0.0004459459459459458
BEGAIN,0.00044448979591836724
IL6ST,0.0004436974789915966
SPANXN4,0.00044329950258182037
TOB2,0.0004416447323021718
LOC283728,0.0004396685933110248
THSD4,0.000438779239766082
SNORD116-4,0.00043736660361970545
LOC100506299,0.00043471513605442176
XLOC_014073,0.00043269476372924647
METTL8,0.00043231320650675465
C2orf82,0.00042973286875725895
XLOC_004847,0.00042965692965692983
OBFC2A,0.00042666666666666683
XLOC_l2_001597,0.0004254254254254256
XLOC_012575,0.00042524097180959944
IDI2,0.00042325581395348825
CD52,0.00042308080808080794
LOC100233156,0.00042294142665432334
ZNF827,0.0004226779668327187
